function_word,moliere_medecinmalgrelui.txt,moliere_monsieurpourceaugnac.txt,moliere_sicilien.txt,moliere_jalousiedubarbouille.txt,moliere_medecinvolant.txt,moliere_depitamoureux.txt,moliere_amantsmagnifiques.txt,moliere_impromptuversailles.txt,moliere_precieusesridicules.txt,moliere_mariageforce.txt,moliere_festindepierre.txt,moliere_tartuffe.txt,moliere_critiqueecoledesfemmes.txt,moliere_misanthrope.txt,moliere_princessedelide.txt,"moliere,amants-magnifiques-livret.txt",moliere_amourmedecin.txt,moliere_georgedandin.txt,moliere_sganarelle.txt,moliere_etourdi.txt,"moliere,bourgeois-gentilhomme-livret.txt","moliere,psyche-livret.txt",moliere_amphitryon.txt,moliere_comtesseescarbagnas.txt,moliere_avare.txt,moliere_fourberiesdescapin.txt,moliere_ecoledesfemmes.txt,moliere_maladeimaginaire.txt,moliere_domgarciedenavarre.txt,moliere_ecoledesmaris.txt,moliere_facheux.txt,moliere_melicerte.txt,"moliere,malade-imaginaire-1682.txt",moliere_femmessavantes.txt,moliere_bourgeoisgentilhomme.txt,moliere_psyche.txt,"moliere,dom-juan-1682.txt"
dont,8,22,4,1,0,33,37,10,9,6,19,39,15,38,29,11,10,13,21,47,2,6,52,13,34,16,39,19,47,20,25,12,21,31,17,44,18
tant,11,19,5,3,12,25,18,3,9,1,27,21,12,25,11,2,5,16,16,28,3,4,16,1,10,11,27,17,11,16,7,6,16,20,25,24,29
moins,3,9,1,0,1,22,9,3,7,1,13,23,3,33,12,1,5,7,15,30,0,0,20,4,22,12,18,12,21,12,10,5,10,20,7,17,11
puis,6,8,5,2,4,9,14,3,6,4,12,16,2,17,14,2,6,7,6,28,0,0,15,3,15,8,20,21,18,8,9,3,18,9,11,16,10
enfin,5,1,4,1,0,36,9,4,2,7,17,31,21,22,18,0,6,2,7,28,0,3,16,1,14,3,26,3,22,15,11,8,4,14,6,8,17
cet,9,8,4,5,2,26,13,8,3,2,22,22,2,23,8,0,5,2,22,26,2,2,21,7,12,15,33,5,41,18,11,11,9,16,8,17,22
quel,8,11,2,5,2,20,15,2,3,9,17,12,4,24,9,3,3,6,9,22,6,1,22,1,17,4,15,14,18,9,7,9,16,12,13,16,19
sont,18,28,11,2,9,16,38,18,19,16,26,54,29,57,15,10,19,19,14,29,5,12,35,13,46,18,31,42,16,20,18,8,41,36,37,36,25
avoir,11,17,10,6,11,21,17,9,10,11,19,27,15,41,15,2,11,18,35,32,3,4,17,7,19,21,21,27,16,6,14,4,25,23,19,20,17
aux,8,10,14,0,1,25,36,15,9,2,21,36,11,47,24,12,3,10,22,19,6,11,32,8,23,18,23,25,40,19,19,5,29,54,33,54,21
avez,12,29,10,3,5,21,15,12,13,12,25,17,12,18,17,0,14,44,9,17,0,0,11,10,27,22,19,34,18,3,3,3,35,21,41,27,30
oui,37,46,16,5,7,31,12,9,12,24,32,42,8,30,23,0,16,50,18,46,0,0,22,9,72,63,42,57,39,36,17,14,60,32,68,12,29
assez,7,6,4,1,4,18,17,10,3,1,15,15,11,27,12,0,4,8,11,18,1,2,14,9,22,12,15,19,25,16,11,5,15,20,14,24,15
ainsi,7,6,6,2,0,24,7,0,1,3,11,13,2,20,4,1,5,8,10,12,1,2,15,4,15,4,11,12,9,9,6,4,12,15,6,10,10
aussi,11,11,5,9,3,25,11,7,12,7,18,17,16,21,11,0,2,10,18,16,1,1,12,11,14,10,23,18,12,8,12,3,17,14,19,6,19
ont,10,8,5,2,2,12,15,16,16,0,25,37,15,28,13,4,9,9,14,12,4,10,14,6,11,12,29,16,27,8,20,7,17,28,20,34,25
soit,12,21,9,1,8,26,14,10,5,12,20,29,10,20,17,4,7,15,18,24,0,2,13,5,29,20,18,20,17,15,10,7,21,16,19,14,17
mieux,12,10,5,2,1,13,12,13,8,6,17,28,9,21,12,1,7,8,14,11,3,2,8,7,23,11,13,22,11,10,13,5,18,12,24,13,16
encor,0,0,0,0,0,26,0,0,0,0,3,13,0,12,2,0,0,1,7,31,0,0,12,1,0,0,14,0,13,14,7,2,1,5,0,11,0
après,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encore,10,12,5,2,4,19,6,4,11,6,23,11,17,22,18,0,5,13,16,14,0,1,6,7,27,23,11,28,9,5,10,3,23,8,22,9,27
toute,16,11,6,6,6,26,16,4,9,6,15,31,8,30,20,3,11,12,8,16,4,8,18,10,18,15,22,15,23,18,14,8,25,25,26,23,13
était,10,2,4,3,2,14,8,3,2,1,10,8,3,16,24,0,5,3,23,23,0,0,17,3,17,19,16,16,8,2,6,1,16,8,8,10,9
